"Term" "Overlap" "P.value" "Adjusted.P.value" "Old.P.value" "Old.Adjusted.P.value" "Odds.Ratio" "Combined.Score" "Genes"
"11" "nervous system development (GO:0007399)" "62/455" 8.04156761650348e-07 0.000373055632245611 0 0 1.89782362484312 26.6330539592565 "MYT1L;CHD7;PTEN;FGF2;GBA2;RAPGEFL1;RPS6KA3;RPS6KA6;SALL1;SALL3;SMPD1;SALL4;CHAC1;JARID2;PCDHAC2;SH3GL2;PCDHAC1;NAV1;PCDHA13;PCDHA12;HPCAL4;PCDHA11;POU3F2;PCDHA10;ADORA2A;SCN8A;NOTCH2;TRAK1;NR2C2;PCDH17;RELN;PCDHA1;SLITRK1;PCDHA5;SLITRK6;PCDHA4;PCDHA3;PCDHA2;NDP;DRD1;PCDHA9;PCDH1;PCDHA8;PCDHA7;PCDHA6;BCL11B;BDNF;ZBTB16;SIAH1;CRIM1;WWP1;ARHGAP26;DCLK1;VEGFA;ABTB2;NFASC;TAOK1;LHX1;NF1;FAT4;FGFR4;FGFR1"
"12" "protein polyubiquitination (GO:0000209)" "44/283" 9.7756814792753e-07 0.000415710854906182 0 0 2.16541827022451 29.9654864101573 "UBE3C;FBXO27;PELI2;FBXO21;FBXO22;FBXL20;NPEPPS;ZNRF2;PSMD7;CDC23;RNF213;HECTD1;RNF138;CDC27;RNF217;RBBP6;PSMF1;ARIH1;TMEM189-UBE2V1;BTRC;RNF111;ANKIB1;UBE2B;SMURF2;FBXW7;SMURF1;SIAH1;WWP1;UBE4A;UBE4B;BFAR;FBXO10;CHFR;RNF41;PSMA5;RNF144B;RNF125;PSME3;TRAF6;RLIM;BCL2;UBE2V1;RNF183;UBE2K"
"13" "peptidyl-serine phosphorylation (GO:0018105)" "28/145" 1.3117415913368e-06 0.000514909026199362 0 0 2.68946306790894 36.4265042407629 "CAB39;ROCK2;MYLK3;MYLK4;IKBKB;RPS6KA3;MAPK9;STK33;MAPK8;MKNK1;AKT3;STK38;PHKG2;PDK3;RICTOR;CLSPN;STK32A;PSKH1;DMPK;CHUK;PRKCD;DCLK1;HIPK3;UHMK1;HIPK2;LATS2;SGK1;CDK5R1"
"14" "peptidyl-serine modification (GO:0018209)" "31/170" 1.32431003404867e-06 0.000482711007410739 0 0 2.53973455677536 34.374339493556 "GALNT13;CAB39;ROCK2;MYLK3;MYLK4;IKBKB;RPS6KA3;MAPK9;STK33;MAPK8;MKNK1;AKT3;STK38;PHKG2;PDK3;RICTOR;CLSPN;STK32A;PSKH1;GALNT7;DMPK;CHUK;GALNT1;PRKCD;DCLK1;HIPK3;UHMK1;HIPK2;LATS2;SGK1;CDK5R1"
"15" "generation of neurons (GO:0048699)" "26/130" 1.5573170298418e-06 0.000529799253552181 0 0 2.78551532033426 37.2494319498965 "YAP1;WNT2B;MYT1L;SEMA3A;DLL1;RELN;ADNP2;WNT4;WNT10B;NTRK2;MAP2K1;MYEF2;FZD4;WNT3A;USP9X;WNT7A;NAV1;POU3F2;PEX13;RUNX1;PTPRD;CDK6;RAPGEF2;FGFR1;PAFAH1B1;CDK5R1"
"16" "transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)" "55/396" 1.84491793659282e-06 0.000588413514402072 0 0 1.93438563912102 25.5398401428979 "DDR1;CSF1;IRS1;FLT3;BRK1;PTPRJ;WASL;FGF1;PIK3C2A;CD3E;FGF2;SOGA1;IGF1R;GHR;FGF7;SPRED1;ZFYVE27;FGF9;PDK4;ANKS1A;ACTR2;EPHA7;FRS2;ESRP2;KIF16B;ESRP1;RAPGEF1;ATP6V1B2;RAPGEF2;ELMO2;PHIP;EPHA1;ROCK1;ROCK2;SH2D2A;PIK3R1;ADRB2;FOXO1;CDC42;EFNB2;ABL2;NCKAP1L;SHOC2;PAG1;NTRK2;BDNF;INSR;IGF1;AP2B1;VEGFA;APC;FGF18;FGFR4;CDK5R1;FGFR1"
"17" "positive regulation of cell morphogenesis involved in differentiation (GO:0010770)" "16/58" 2.04438445533626e-06 0.000613676110328291 0 0 3.84209009701277 50.3329701800581 "NTRK2;AMIGO1;CRKL;CDC42;PTPRD;SLITRK1;ARHGDIA;CAPRIN1;MYADM;PLXNA2;PLXNB1;PLXNC1;SLIT2;RREB1;PLXNA4;LIMS1"
"18" "regulation of transcription, DNA-templated (GO:0006355)" "163/1598" 2.15178161478438e-06 0.000610030087791371 0 0 1.42064767589013 18.5383361108774 "MYT1L;CD80;JMJD1C;RORA;NUCKS1;RBPJ;FGF2;BACH2;ARHGAP35;ELK4;RPS6KA3;ZNF609;ZNF81;SALL1;DACH1;SALL3;PPP2R1A;SALL4;MYB;EPC1;BTRC;SOX6;ATXN7L3;RNF111;MAP2K3;MAP2K1;USP3;RFX3;DYRK1B;ATP1B4;KCTD1;ZBTB33;HCFC2;POU3F2;PIAS2;PIAS1;RUNX1;DMTF1;KARS;CCNE1;TBL1XR1;TIMELESS;ZNF436;PHIP;UBE2V1;ZNF831;CLOCK;ATF6;NOTCH2;ZNF275;CASZ1;KMT2A;SRCAP;CREBL2;FOXO1;PHF21A;NPAS3;SBNO1;HMBOX1;HMGXB4;ZNF704;TASP1;NDP;ZNF423;RREB1;WNT4;BPTF;TFAP2A;ESRRA;HSPA8;ZFHX3;TFAP2D;CBX5;POU2F1;BCL11B;CBX4;SMURF2;DENND4A;FZD4;WNT3A;ZBTB16;INSR;HMGA1;NFATC3;HMGA2;ESRRG;IGF1;CDC6;ESR2;FOSL2;FOSL1;LHX3;LHX1;MMS19;BRWD1;OGT;ZNF532;NFE2L1;PHF19;RET;SETD3;CHD7;BHLHE41;TFCP2L1;CHD2;LITAF;IKBKB;ING2;ZMYM2;BCL7A;YWHAQ;JARID2;MYBL1;ZNF367;TEAD1;GABPA;YWHAH;ZHX3;TGIF2;CHUK;EED;TSC22D3;ETV1;MED26;ZHX1;CBFA2T3;PPM1A;TRAF6;MED20;YAP1;SATB2;FOXK1;TRAK1;NR2C2;LRP6;MLLT6;BTAF1;ELMSAN1;CREG1;TP53INP1;SRSF10;RUNX1T1;SUZ12;SPEN;TAF15;MBD1;WNT7A;WWP1;SSRP1;ACVR2B;GATAD2A;TARBP1;VEGFA;HIPK2;KLF7;RYBP;CARM1;PDCD4;RLIM;POLR3F;NAA15;LIMS1;CDK5R1"
"19" "positive regulation of nucleic acid-templated transcription (GO:1903508)" "65/502" 2.61927481607834e-06 0.000703482072970936 0 0 1.80337147232796 23.1780357485636 "RET;SETD3;CD80;RORA;FGF2;IKBKB;ING2;SALL1;MYB;EPC1;BTRC;TEAD1;ATXN7L3;MYBL1;RNF111;YWHAH;MAP2K3;MAP2K1;CHUK;RFX3;DYRK1B;PIAS2;PIAS1;RUNX1;PPM1A;KARS;CCNE1;TBL1XR1;PHIP;UBE2V1;CLOCK;YAP1;CASZ1;KMT2A;CREBL2;FOXO1;NPAS3;LRP6;TP53INP1;TASP1;NDP;ZNF423;RREB1;BPTF;WNT4;TFAP2A;ZFHX3;TAF15;FZD4;WNT3A;ZBTB16;HMGA1;WNT7A;HMGA2;ESRRG;IGF1;ESR2;HIPK2;RYBP;LHX3;LHX1;MMS19;NAA15;NFE2L1;PHF19"
"20" "positive regulation of transcription from RNA polymerase II promoter (GO:0045944)" "97/848" 3.07934013058371e-06 0.000785693634318434 0 0 1.59313081410627 20.2180969320434 "APP;PID1;CCNT2;CRTC3;CCNT1;WWC1;RORA;RBPJ;FGF1;FGF2;ELK4;HOXA10;RPS6KA3;ZNF609;SALL1;MYB;EPC1;RNF111;SUPT16H;RFX3;ATP1B4;RUNX1;TBL1XR1;TBPL1;PHIP;ATF6;CLOCK;KMT2A;PIK3R1;FOXO1;NPAS3;TERT;RPRD1B;OTX1;RREB1;BCL9L;TFAP2A;ESRRA;POU2F1;BCL11B;WNT3A;HMGA1;NFATC3;MICAL2;HMGA2;ERLIN2;IGF1;FOSL2;SMAD7;CDK8;LHX3;AGO1;CREBRF;OGT;NFE2L1;BMPR1A;CSRNP1;DDX3X;SETD3;THRB;ONECUT2;ELL;MEOX2;LITAF;IRF2BPL;IKBKB;FLCN;MYBL1;TEAD1;GABPA;CHUK;ETV1;DCN;RGMA;TRAF6;TET3;TFEC;RARB;YAP1;PLAG1;PTH;NR2C2;DLL1;LRP6;PLAGL1;E2F3;E2F7;PCGF5;MACC1;WNT7A;ACVR2A;APLN;VEGFA;HIPK2;SKI;KLF7;NFIC"
"21" "neuron development (GO:0048666)" "27/144" 3.62477906450321e-06 0.00088082131267428 0 0 2.61142061281337 32.7151389778158 "APP;TENM2;BTG2;ROCK1;MYT1L;ARL3;PTPRM;FRY;GBA2;CAMSAP1;MAPK9;MAPK8;ZFYVE27;MAP4;ATP7A;SKIL;SH3GL2;NTRK2;ETV1;POU3F2;RUNX1;UHMK1;SKI;RAB35;RAPGEF2;FRYL;CDK5R1"
"22" "positive regulation of neuron projection development (GO:0010976)" "21/97" 4.16678793991665e-06 0.000966505402608849 0 0 3.01524854262987 37.3539998048016 "RET;SYT4;NTRK2;SYT3;UNC13A;SMURF1;AMIGO1;ARHGAP35;CX3CL1;RELN;LRRC7;SLITRK1;ARHGDIA;PLXNA2;RAPGEF1;ABL2;RAPGEF2;PLXNB1;PLXNC1;SLIT2;PLXNA4"
"23" "positive regulation of axonogenesis (GO:0050772)" "12/37" 6.13423396354853e-06 0.00136099982243427 0 0 4.51705187081232 54.211964244138 "NTRK2;GOLGA4;ZFYVE27;SLITRK1;BDNF;AMIGO1;ARHGDIA;PLXNA2;PLXNB1;PLXNC1;SLIT2;PLXNA4"
"24" "neuron projection development (GO:0031175)" "29/167" 7.80797921029971e-06 0.00166017157958998 0 0 2.41856120627825 28.4431610405399 "APP;BTG2;CNTNAP1;ROCK1;PTEN;PTPRM;WASL;FRY;CAMSAP1;CDC42;ZFYVE27;NCKAP1L;MAP4;ATP7A;SH3GL2;BDNF;MINK1;WNT7A;DICER1;DCLK1;UHMK1;SLC9A6;RAB35;RAPGEF2;PLXNB1;TNIK;SGK1;FRYL;CDK5R1"
"25" "central nervous system neuron development (GO:0021954)" "6/9" 9.42905525919926e-06 0.00192465875950775 0 0 9.28505106778087 107.443961475767 "NTRK2;PTEN;RAPGEF2;ATP7A;GBA2;ARHGAP35"
"26" "protein modification by small protein conjugation (GO:0032446)" "53/398" 9.72884266009345e-06 0.00190947246517142 0 0 1.85467728615221 21.4037467127109 "UBE3C;CBLC;TNFAIP1;BACH2;SENP5;SUMO3;ARIH1;BTRC;RNF111;ANKUB1;ARRDC4;RNF43;AREL1;NUP210;FBXW7;FBXO10;PIAS2;PIAS1;RRAGA;SELENOS;GAN;NUP50;PEX5;KLHL18;POM121;SEH1L;KLHL15;CUL2;DCUN1D4;DCUN1D1;UBR3;RNF213;ZNRF3;HECTD1;POM121C;OS9;RNF138;HECTD4;UBE2B;SMURF2;EYA1;USP9X;KLHL26;SMURF1;WWP1;KLHDC8B;CHFR;MIB1;UVSSA;KBTBD2;RLIM;UBE2K;ASB1"
"27" "macromolecular complex assembly (GO:0065003)" "23/120" 1.28171056907184e-05 0.00242243297554579 0 0 2.669452181987 30.0706578033481 "YAP1;CARD10;KMT2A;TUBGCP2;HMGA1;LIN7A;LAMC1;WASL;CD3E;NAPG;CD2AP;OXA1L;NFS1;PARD6B;APC;PPP2R1A;CNKSR3;CAPZA2;IL2RB;NCKAP1L;KPNA3;TEAD1;MDN1"
"28" "negative regulation of cell migration (GO:0030336)" "23/121" 1.47652797827759e-05 0.00269097224041091 0 0 2.64739059370612 29.4475400169859 "KANK1;PTPRR;PTEN;PTPRJ;LDLRAD4;FGF2;CX3CL1;RNF41;SMAD7;RAP2C;FLCN;DACH1;TP53INP1;NF1;NF2;SLIT2;EPHA1;SRGAP1;RECK;VCL;SCAI;CLASP1;BMPR1A"
"29" "neuron migration (GO:0001764)" "12/40" 1.5120228149266e-05 0.00266063876709325 0 0 4.17827298050139 46.3766452566416 "NTRK2;NHSL1;RELN;USP9X;SEMA3A;RAPGEF2;NAV1;PEX13;VEGFA;FGFR1;PAFAH1B1;CDK5R1"
"30" "cytoplasmic pattern recognition receptor signaling pathway (GO:0002753)" "9/24" 2.40425392938267e-05 0.00408963593387993 0 0 5.22284122562674 55.548498394912 "IKBKB;CYLD;CHUK;IRAK2;TRAF6;TAB3;UBE2V1;MAP3K7;MAP2K6"
"31" "stress-activated MAPK cascade (GO:0051403)" "15/62" 2.4093110471998e-05 0.00396603686253567 0 0 3.36957498427532 35.830660765348 "MAP2K3;CHUK;MINK1;DUSP9;CRKL;IKBKB;MAPK9;MAPK8;IRAK2;TRAF6;TAB3;UBE2V1;BTRC;MAP3K13;MAP3K7"
"32" "activation of protein kinase activity (GO:0032147)" "35/233" 2.58127551264682e-05 0.00411632779407398 0 0 2.0921252405944 22.1025537748527 "PRKAA1;ADRB2;FGF1;FGF2;CRKL;ADCY5;GHR;IRAK2;PRKAR2A;RICTOR;CLSPN;MAP3K7;MAP3K4;MAP2K6;MAP2K3;CARD10;MAP2K1;INSR;STRADB;PRKCD;MINK1;FRS2;IGF1;ATG13;DUSP9;VEGFA;KARS;TAOK1;TRAF6;RAPGEF1;TAB3;UBE2V1;TNIK;RAF1;MAP3K13"
"33" "proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)" "41/291" 2.60355135682211e-05 0.00402603714359492 0 0 1.96230460710833 20.7141836747959 "AMER1;KLHL15;UBR3;TNFAIP1;USP19;UBE2J1;FBXL20;TRIM9;ZNRF2;PSMD7;CDC23;OS9;HECTD4;CDC27;PSMF1;BTRC;RNF111;UBE2B;SMURF2;FBXW7;SMURF1;USP44;SIAH1;WWP1;UBE4A;YOD1;UBE4B;BFAR;ARMC8;ERLIN2;PPP2R5C;ABTB2;PSMA5;SELENOS;APC;TBL1XR1;PSME3;RLIM;CLOCK;UBE2K;SPSB4"
"34" "protein localization to cell periphery (GO:1990778)" "22/117" 2.67938609355688e-05 0.00402144330453552 0 0 2.61886055757922 27.5696296523626 "ROCK1;SMURF1;ROCK2;STXBP1;PTCH1;ZDHHC23;MYO5A;LIN7A;LRP6;IKBKB;RAB10;RAB40A;ZFYVE27;RAB40B;WNK3;MYADM;MAP7;TSPAN5;RAPGEF2;TNIK;RAB40AL;WNT4"
"35" "negative regulation of signal transduction (GO:0009968)" "40/283" 3.01810447346661e-05 0.00440039632231432 0 0 1.96856206384047 20.4893776163382 "RET;DDR1;OTUD4;KANK1;PID1;IRS1;FLT3;PTEN;PTPRJ;NRARP;NKD1;IGF1R;DLL4;CYP26B1;HMGXB4;SMPD1;GRB10;CHAC1;BTRC;SOCS5;PHACTR4;RNF43;NTRK2;EPHA7;FBXW7;INSR;PTCH1;PRKCD;SPRY4;TSC1;DCN;APLN;RPS6KB1;BCL2;SPRY3;EPHA1;RAF1;FGFR4;TRABD2B;FGFR1"
"36" "negative regulation of intracellular signal transduction (GO:1902532)" "27/161" 3.02034906187042e-05 0.00428134479520132 0 0 2.33568054810637 24.3087192282973 "PHLPP2;PRKAA1;NLRX1;DDX3X;WWC1;PDE3B;ITPR1;PTEN;RORA;PTPRJ;ARHGAP12;FLCN;SPRED1;DEPTOR;NLRP1;SLIT2;UBE2B;PLEKHA1;TSC1;PPP2R5C;CD2AP;PPM1A;PPIF;MYADM;BCL2;NF1;BCL2L2"
"37" "positive regulation of protein serine/threonine kinase activity (GO:0071902)" "22/118" 3.07338070418071e-05 0.00423877344146869 0 0 2.59666682404041 26.9797507977642 "CARD10;MAP2K1;CCNT2;DDX3X;CCNT1;CAB39;FLT3;ADRB2;FGF1;FGF2;VEGFA;CCND3;CCND2;CCND1;TRAF6;FGF18;NEK10;RAPGEF2;CCNYL1;CALM1;MAP3K7;FGFR1"
"38" "regulation of vascular smooth muscle cell proliferation (GO:1904705)" "9/25" 3.51785638420371e-05 0.00472411082331356 0 0 5.01392757660167 51.4181965368396 "CNN1;FGF9;PDCD4;MFN2;IGF1;FGF2;PRKG1;APLN;BMPR1A"
"39" "nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway (GO:0035872)" "9/25" 3.51785638420371e-05 0.00460297977656193 0 0 5.01392757660167 51.4181965368396 "IKBKB;CYLD;CHUK;IRAK2;TRAF6;TAB3;UBE2V1;MAP3K7;MAP2K6"
"40" "miRNA loading onto RISC involved in gene silencing by miRNA (GO:0035280)" "5/7" 3.52083719835552e-05 0.00449170805580205 0 0 9.94826900119379 102.011805244706 "AGO3;AGO4;AGO1;DICER1;TARBP2"
